rtr_id,rtr_name,rtr_addr,rtr_price,rtr_type,rtr_longitude,rtr_latitude,geometry,district
13947,定食 Doraya,銅鑼灣骆克道451-453号骆克大楼,$101-200,日本菜,114.186427,22.277527,POINT (114.186427 22.277527),湾仔区
139830,甜甜屋,西灣河西湾河街110号地下B舖,$50以下,西式,114.226716,22.278612,POINT (114.226716 22.278612),东区
14014,珍香园,西灣河成安街12号地下,$50以下,港式,114.22629599999999,22.278741,POINT (114.226296 22.278741),东区
140523,天然豚骨拉面专门店一兰,銅鑼灣谢斐道440号骆克大厦A座地下F-I舖,$51-100,日本菜,114.185996,22.277555,POINT (114.185996 22.277555),湾仔区
140670,乾隆古法秘制鸡煲,西環坚尼地城卑路乍街185号地下,$101-200,港式,114.13126399999999,22.279708,POINT (114.131264 22.279708),中西区
140754,百汇轩,北角电气道169号康宏汇地下,$101-200,粤菜 (广东),114.196653,22.284698000000002,POINT (114.196653 22.284698),东区
14076,北京楼,太古太古城道18号太古城中心二期2楼201号舖,$201-400,京菜 (官府菜),114.22291899999999,22.283796,POINT (114.222919 22.283796),东区
1411,市川日本料理,太古太古城道18号太古城中心二期2楼262号舖,$101-200,日本菜,114.22291899999999,22.283796,POINT (114.222919 22.283796),东区
141314,La Rotisserie (第三街),西環西营盘第三街71号地舖,$51-100,法国菜,114.146976,22.283022,POINT (114.146976 22.283022),中西区
141426,北方饺子源,筲箕灣筲箕湾东大街28号地舖,$50以下,京菜 (官府菜)、鲁菜 (山东),114.235022,22.277228,POINT (114.235022 22.277228),东区
14149,满福楼,灣仔港湾道1号香港万丽海景酒店3楼,$401-800,粤菜 (广东),114.177825,22.278608,POINT (114.177825 22.278608),湾仔区
141559,星河小食,西灣河筲箕湾道138号富裕中心地下8号舖,$50以下,港式、西式,114.226975,22.278648,POINT (114.226975 22.278648),东区
14157,味自慢,西灣河鲤景湾苏豪东B期太康街45号GB18-20,$401-800,日本菜,114.22893400000001,22.283504,POINT (114.228934 22.283504),东区
141622,叹住食,西環石塘咀山道39号地下,$51-100,西式,114.147035,22.287195999999998,POINT (114.147035 22.287196),中西区
1418,The Boathouse,赤柱赤柱大街86-88号,$101-200,西式,114.216334,22.215846,POINT (114.216334 22.215846),南区
141839,哥利亚餐厅,天后哥顿道10号地下,$50以下,港式,0.0,0.0,POINT (0 0),None
14207,祥香茶餐厅,西環坚尼地城卑路乍街107号,$50以下,港式,114.13336899999999,22.280037,POINT (114.133369 22.280037),中西区
14243,裕兴咖啡,中環士丹利街82号舖,$50以下,港式,114.159419,22.280967999999998,POINT (114.159419 22.280968),中西区
14249,顺兴茶档,大坑安庶庇街24号地下,$50以下,港式,114.197565,22.275419,POINT (114.197565 22.275419),湾仔区
14250,炳记茶档,大坑施弼街5号侧,$50以下,港式,114.19720500000001,22.275712,POINT (114.197205 22.275712),湾仔区
14284,可可店 (坚尼地城),西環坚尼地城卑路乍街136-142号联威新楼地下E及F舖,$50以下,港式,114.135547,22.280718,POINT (114.135547 22.280718),中西区
14295,荷兰糖水,西環坚尼地城荷兰街1F地下,$50以下,港式,114.13586000000001,22.281651999999998,POINT (114.13586 22.281652),中西区
1430,Indochine 1929,中環兰桂坊德己立街21号2至4楼,$101-200,越南菜,114.160697,22.27816,POINT (114.160697 22.27816),中西区
14318,泰轩美食,西灣河筲箕湾道57-87号太安楼地下A38号舖,$51-100,泰国菜,114.226425,22.279791,POINT (114.226425 22.279791),东区
143204,兴华酒藏,鰂魚涌海湾街滨海大厦地下A1号舖,$201-400,西式,114.207558,22.291498,POINT (114.207558 22.291498),东区
143260,Chachawan,上環荷里活道206号地舖,$201-400,泰国菜,114.147485,22.285744,POINT (114.147485 22.285744),中西区
143358,Cupping Room Coffee Roasters (皇后大道中),上環皇后大道中287-299号永杰中心LG舖（入口於急庇利街）,$101-200,西式,114.155566,22.28226,POINT (114.155566 22.28226),中西区
14347,汇海食家,香港仔田湾嘉禾街1-3号地下B舖,$50以下,港式,114.153843,22.246838,POINT (114.153843 22.246838),南区
14348,乐富小食,香港仔田湾嘉禾街1-3号地下F舖,$50以下,港式,114.153843,22.246838,POINT (114.153843 22.246838),南区
143603,白鮨,金鐘金钟道88号太古广场2座LG1楼,$101-200,日本菜,114.170878,22.274655,POINT (114.170878 22.274655),中西区
14381,大快活,西灣河鲤景湾苏豪东D期太安街25号地下GD23-26号舖,$50以下,港式,114.22893400000001,22.283504,POINT (114.228934 22.283504),东区
143822,八方云集锅贴水饺专门店 (ac5),香港仔南宁街ac5地下2号舖,$50以下,台湾菜,114.163825,22.276284,POINT (114.163825 22.276284),中西区
14392,权记云吞面,北角渣华道108号,$50以下,港式,114.20474499999999,22.289353,POINT (114.204745 22.289353),东区
14397,富源潮州面食城,柴灣小西湾富怡花园9号舖,$50以下,潮州菜,114.25502,22.260668,POINT (114.25502 22.260668),东区
143976,Via Tokyo,銅鑼灣礼顿道106-126号礼信大厦地下1A-1B号舖,$50以下,日本菜,114.191243,22.275149,POINT (114.191243 22.275149),湾仔区
14413,Pret A Manger,金鐘港铁金钟站ADM33舖,$51-100,英国菜,114.16875,22.276939000000002,POINT (114.16875 22.276939),中西区
144172,大井面饱西饼,柴灣小西湾道23号富怡花园地下C3-C5号舖,$50以下,港式,114.25502,22.260668,POINT (114.25502 22.260668),东区
144249,吕记潮州卤味专门店,筲箕灣金华街48号协和大厦地下,$50以下,潮州菜,114.234978,22.275458,POINT (114.234978 22.275458),东区
14429,甜姨姨私房甜品,天后电气道96号A4地舖,$50以下,港式,114.196767,22.282042999999998,POINT (114.196767 22.282043),东区
1443,cafe TOO,金鐘金钟道88号太古广场二座港岛香格里拉酒店7楼,$401-800,西式,114.170878,22.274655,POINT (114.170878 22.274655),中西区
144326,权记小菜馆,西環坚尼地城士美非路12K号士美非路市政大厦2楼熟食中心CF5号舖,$50以下,港式,114.21653700000002,22.281032999999997,POINT (114.216537 22.281033),东区
14434,生命物,西環石塘咀皇后大道西425号永华大厦地下,$50以下,港式,114.141341,22.283321,POINT (114.141341 22.283321),中西区
1445,港岛香格里拉酒店大堂酒廊,金鐘金钟道88号太古广场二座港岛香格里拉酒店6楼,$201-400,港式、西式、多国菜,114.170878,22.274655,POINT (114.170878 22.274655),中西区
14454,瑞荣小馆,西環石塘咀德辅道西382号锦华大厦地下,$50以下,港式,114.142354,22.284224,POINT (114.142354 22.284224),中西区
144746,珍妮曲奇,上環永和街15号地舖,$51-100,西式,114.15861100000001,22.282431,POINT (114.158611 22.282431),中西区
14483,Amber,中環皇后大道中15号置地文华东方酒店7楼,$801以上,西式,114.15753899999999,22.285042,POINT (114.157539 22.285042),中西区
144858,Opendoor Cafe + Courtyard,西環西营盘干诺道西120号地下,$50以下,西式,114.14941999999999,22.285694,POINT (114.14942 22.285694),中西区
145054,滋味小厨,西環卑路乍街 7-11 号海都楼地下15B 舖,$50以下,港式,114.1368,22.282134,POINT (114.1368 22.282134),中西区
145096,康记粉面,西環石塘咀皇后大道西425S永华大厦地下後舖,$50以下,港式,114.141341,22.283321,POINT (114.141341 22.283321),中西区
14523,松柏食堂,黃竹坑业发街12号松柏工业大厦地下C舖,$50以下,港式,114.14333300000001,22.365927,POINT (114.143333 22.365927),葵青区
145327,McCafe,杏花邨盛泰道100号杏花新城地下G46号舖,$50以下,美国菜,114.243807,22.273394,POINT (114.243807 22.273394),东区
